time,AvgDist,ecuSpeed,OPS,ecuTPS,RPM,avgTPS,TPS_setpoint,Lambda,ETC_setpoint,APPS1,BSPot,BSPres,SB_errorSum,SB_setpoint,BrakeLight,ProximitySensorArm,ProximitySensorBil,Clutch_LoadCell,Clutch_pot,gear,speed_fl,speed_fr,speed_rl,speed_rr,avgSpeed,SteeringPotA,SteeringPotP,SteeringSpeed,SteeringPWM,SteeringErrorSum,Ax,Ay,YawRate,YawAcc,loadCell_fl,loadCell_fr,loadCell_rl,loadCell_rr
2.568751,0.000000,0.000000,0.187500,100.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.378718,728,0.130253,0,0.000000,0,1,1,0.769171,3.543183,0.012857,0.000000,0.000000,0.000000,0.000000,0.000000,21.549822,2.260461,0.153803,0,0.990000,0.098791,-0.020054,-0.050000,0.000000,0.000000,0.000000,0.000000,0.000000
2.590765,0.000000,0.000000,0.187500,98.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.388563,728,0.134221,0,0.000000,0,1,1,0.930036,3.574465,0.013446,0.000000,0.000000,0.000000,0.000000,0.000000,21.546793,2.258118,1.020371,0,0.990000,0.078795,-0.020054,-0.060000,0.000000,0.000000,0.000000,0.000000,0.000000
2.613180,0.000000,0.000000,0.187500,98.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.396489,728,0.140174,0,0.000000,0,1,1,0.607576,3.600775,0.012626,0.000000,0.000000,0.000000,0.000000,0.000000,21.552345,2.257226,2.110152,0,0.990000,0.078795,-0.041301,-0.085000,0.000000,0.000000,0.000000,0.000000,0.000000
2.635206,0.000000,0.000000,0.187500,94.500000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.406032,728,0.142378,0,0.000000,0,1,1,0.292676,3.614012,0.015037,0.000000,0.000000,0.000000,0.000000,0.000000,21.551394,2.258465,-0.363211,0,0.990000,0.098791,-0.040051,-0.080000,5.000000,0.000000,0.000000,0.000000,0.000000
2.657397,0.000000,0.000000,0.187500,94.500000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.382658,728,0.136874,0,0.000000,0,1,1,0.646081,3.584714,0.013033,0.000000,0.000000,0.000000,0.000000,0.000000,21.549690,2.254229,-0.926398,0,0.990000,0.118788,-0.033802,-0.080000,0.000000,0.000000,0.000000,0.000000,0.000000
2.680433,0.000000,0.000000,0.187500,91.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.385654,728,0.135899,0,0.000000,0,1,1,0.427808,3.536725,0.013477,0.000000,0.000000,0.000000,0.000000,0.000000,21.556730,2.252727,-0.266350,0,0.990000,0.118788,-0.026303,-0.055000,0.000000,0.000000,0.000000,0.000000,0.000000
2.702537,0.000000,0.000000,0.187500,91.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.379143,728,0.137198,0,0.000000,0,1,1,0.568761,3.585288,0.015256,0.000000,0.000000,0.000000,0.000000,0.000000,21.530800,2.256915,0.172995,0,0.990000,0.098791,-0.023804,-0.045000,5.000000,0.000000,0.000000,0.000000,0.000000
2.723827,0.000000,0.000000,0.187500,91.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.404539,728,0.139120,0,0.000000,0,1,1,0.500654,3.530176,0.012095,0.000000,0.000000,0.000000,0.000000,0.000000,21.546461,2.253177,-0.224618,0,0.990000,0.078795,-0.021304,-0.040000,-5.000000,0.000000,0.000000,0.000000,0.000000
2.744471,0.000000,0.000000,0.187500,87.500000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.404789,728,0.143479,0,0.000000,0,1,1,0.387258,3.586631,0.011583,0.000000,0.000000,0.000000,0.000000,0.000000,21.544216,2.253277,0.163756,0,0.990000,0.098791,-0.011306,-0.060000,0.000000,0.000000,0.000000,0.000000,0.000000
2.768416,0.000000,0.000000,0.187500,87.500000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.405987,728,0.133125,0,0.000000,0,1,1,0.628713,3.563318,0.014424,0.000000,0.000000,0.000000,0.000000,0.000000,21.543077,2.252178,3.290940,0,0.990000,0.098791,-0.021304,-0.080000,0.000000,0.000000,0.000000,0.000000,0.000000
2.790364,0.000000,0.000000,0.187500,84.500000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.380851,728,0.132303,0,0.000000,0,1,1,0.336358,3.597206,0.013342,0.000000,0.000000,0.000000,0.000000,0.000000,21.552797,2.252879,2.238398,0,0.990000,0.098791,-0.002557,-0.060000,0.000000,0.000000,0.000000,0.000000,0.000000
